Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /files/[user]/1.0MB,1260,0,51,236.46215311515363,23.339223000220954,12578.567482007202,252.884126984127,4.2001166247326145,0.0,51,61,70,76,98,120,4400,6200,12000,13000,13000
GET,GET /files/[user]/1.0MB,1628,0,51,184.97634466926792,24.50704699731432,11684.769279003376,896.813882063882,5.42681735322595,0.0,51,61,70,76,97,120,2300,5700,11000,12000,12000
PROPFIND,PROPFIND /files/[user]/,865,0,74,237.47286662672016,36.9532760232687,11039.231221977388,105986.69942196531,2.8834133971378666,0.0,74,88,98,110,140,170,3800,5800,11000,11000,11000
PUT,PUT /files/[user]/1.0MB,2510,6,97,274.4966348529857,1.8104469927493483,12078.344581997953,0.0,8.36689899053878,0.020000555355869594,97,110,130,140,170,220,3600,6300,12000,12000,12000
,Aggregated,6263,6,74,238.46150170202282,1.8104469927493483,12578.567482007202,14922.104742136356,20.877246365635212,0.020000555355869594,74,90,100,110,140,190,3400,6000,11000,13000,13000
