Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757190276,200,,Aggregated,70.500000,59.800000,330,430,540,720,4900,9900,14000,16000,23000,23000,23000,1503,1213,330.0,1524.6939980395316,42.69444799865596,23237.33422497753,1339.9334664005323
1757190277,200,,Aggregated,70.900000,59.800000,330,420,520,700,4800,10000,14000,17000,23000,23000,23000,1574,1276,330.0,1536.3616640575626,42.69444799865596,23237.33422497753,1361.379923761118
1757190278,200,,Aggregated,71.100000,59.300000,320,410,520,650,4700,10000,14000,17000,23000,23000,23000,1646,1342,320.0,1510.2567992859963,42.69444799865596,23237.33422497753,1333.4799513973269
1757190279,200,,Aggregated,71.400000,59.300000,320,410,510,640,4800,10000,14000,17000,23000,23000,23000,1716,1399,320.0,1522.6147895656704,42.69444799865596,23237.33422497753,1306.5903263403263
1757190280,200,,Aggregated,71.700000,60.600000,320,410,510,620,4700,10000,14000,17000,23000,23000,23000,1787,1460,320.0,1495.5614080468592,42.69444799865596,23237.33422497753,1292.240067151651
1757190281,200,,Aggregated,70.700000,60.100000,320,410,500,600,4500,10000,14000,16000,23000,23000,23000,1866,1533,320.0,1455.6428128482694,42.69444799865596,23237.33422497753,1250.3360128617364
1757190282,200,,Aggregated,71.400000,60.200000,320,410,500,590,4400,10000,14000,16000,23000,23000,23000,1926,1587,320.0,1443.6828105082482,42.69444799865596,23237.33422497753,1222.1292834890967
1757190283,200,,Aggregated,71.000000,59.600000,320,410,500,590,4000,9900,14000,17000,23000,28000,28000,2000,1651,320.0,1438.2002198523828,42.69444799865596,27679.689759999746,1215.541
1757190284,200,,Aggregated,71.200000,60.800000,320,410,500,580,3800,9600,14000,17000,23000,31000,31000,2082,1725,320.0,1443.2641302108232,42.69444799865596,30558.43025899958,1216.6709894332373
1757190285,200,,Aggregated,71.100000,61.000000,320,410,500,590,3800,9900,14000,17000,23000,31000,31000,2144,1770,320.0,1453.171935823651,42.69444799865596,30558.43025899958,1259.0205223880596
1757190286,200,,Aggregated,70.300000,60.100000,320,410,500,590,3800,10000,15000,17000,23000,31000,31000,2223,1830,320.0,1463.4169200683357,42.69444799865596,30558.43025899958,1305.088618983356
1757190287,200,,Aggregated,71.000000,61.100000,320,410,510,600,4000,10000,15000,17000,23000,31000,31000,2277,1849,320.0,1472.218000851138,42.69444799865596,30558.43025899958,1379.8524374176548
1757190288,200,,Aggregated,70.600000,61.100000,330,420,510,610,4400,11000,15000,18000,23000,31000,31000,2311,1849,330.0,1501.9011565581998,42.69444799865596,30558.43025899958,1475.1657291215924
1757190289,200,,Aggregated,70.800000,60.400000,330,420,510,610,4600,11000,15000,18000,23000,31000,31000,2363,1849,330.0,1546.6196447050777,42.69444799865596,30558.43025899958,1608.2107490478206
1757190290,200,,Aggregated,68.600000,54.900000,330,420,510,610,4700,11000,16000,18000,23000,31000,31000,2409,1849,330.0,1585.5869414798544,42.69444799865596,30558.43025899958,1705.013698630137
1757190291,200,,Aggregated,64.800000,48.300000,330,420,520,620,4700,11000,16000,18000,23000,31000,31000,2470,1849,330.0,1593.6229395777452,42.69444799865596,30558.43025899958,1847.8554655870446
1757190292,200,,Aggregated,62.800000,42.600000,320,420,510,610,4800,12000,16000,18000,23000,31000,31000,2535,1849,320.0,1616.1050016501324,42.69444799865596,30558.43025899958,1989.4611439842208
1757190293,200,,Aggregated,61.600000,37.100000,320,410,510,610,4900,12000,16000,18000,23000,31000,31000,2612,1849,320.0,1620.9470836569938,42.69444799865596,30558.43025899958,2114.803215926493
1757190294,200,,Aggregated,60.300000,29.800000,320,410,500,610,4900,12000,16000,19000,23000,31000,31000,2686,1849,320.0,1624.032914862616,42.69444799865596,30558.43025899958,2166.0886075949365
1757190295,200,,Aggregated,59.500000,23.700000,320,400,500,600,5000,12000,16000,19000,23000,31000,31000,2769,1849,320.0,1620.9960930649486,42.69444799865596,30558.43025899958,2289.32033224991
1757190296,200,,Aggregated,61.500000,18.400000,310,400,500,590,5000,12000,16000,19000,23000,31000,31000,2866,1849,310.0,1625.8507647801662,42.69444799865596,30558.43025899958,2368.6500348918353
1757190297,200,,Aggregated,61.200000,11.700000,310,390,490,580,5000,11000,16000,19000,23000,31000,31000,2982,1849,310.0,1605.725713752495,34.72321599838324,30558.43025899958,2444.2246814218647
1757190298,200,,Aggregated,62.700000,6.400000,300,380,470,560,4700,11000,16000,18000,23000,31000,31000,3101,1849,300.0,1547.5419630988947,32.29637999902479,30558.43025899958,2590.8713318284426
1757190299,200,,Aggregated,64.800000,0.800000,290,370,460,540,4400,11000,16000,18000,23000,31000,31000,3216,1849,290.0,1494.637884982417,32.29637999902479,30558.43025899958,2733.655161691542
1757190300,200,,Aggregated,72.100000,0.000000,280,370,450,530,3800,11000,15000,18000,23000,31000,31000,3311,1849,280.0,1453.8480730499932,32.29637999902479,30558.43025899958,2814.059196617336
1757190301,200,,Aggregated,80.100000,0.000000,270,360,440,520,3500,10000,15000,18000,23000,31000,31000,3426,1849,270.0,1407.5127491947956,28.183151996927336,30558.43025899958,2920.8333333333335
1757190302,200,,Aggregated,87.000000,0.000000,270,350,430,500,3200,10000,15000,18000,23000,31000,31000,3555,1849,270.0,1358.9190125159828,26.119478017790243,30558.43025899958,3107.181153305204
1757190303,200,,Aggregated,92.800000,0.000000,260,350,420,490,2700,9900,15000,18000,23000,31000,31000,3662,1849,260.0,1321.3412741518898,26.119478017790243,30558.43025899958,3165.9770617149097
1757190304,200,,Aggregated,96.200000,0.000000,250,340,410,480,2400,9700,15000,18000,23000,31000,31000,3767,1849,250.0,1286.6446477303011,26.119478017790243,30558.43025899958,3269.7977170161935
1757190305,200,,Aggregated,102.100000,0.000000,240,330,400,470,2200,9400,15000,18000,23000,31000,31000,3880,1849,240.0,1251.2847330959316,26.119478017790243,30558.43025899958,3370.962886597938
1757190306,200,,Aggregated,105.800000,0.000000,240,330,400,460,1900,9100,15000,18000,23000,31000,31000,4004,1849,230.0,1214.6088502967489,26.119478017790243,30558.43025899958,3528.6895604395604
1757190307,200,,Aggregated,109.300000,0.000000,230,320,390,450,1700,8800,15000,17000,23000,31000,31000,4125,1849,230.0,1181.3868499779435,26.119478017790243,30558.43025899958,3566.672484848485
1757190308,200,,Aggregated,111.100000,0.000000,220,320,380,450,1500,8700,15000,17000,23000,31000,31000,4224,1849,220.0,1155.4438671766234,26.119478017790243,30558.43025899958,3640.1032196969695
1757190309,200,,Aggregated,113.200000,0.000000,220,310,380,440,1300,8600,14000,17000,23000,31000,31000,4333,1849,220.0,1128.0455117643448,26.119478017790243,30558.43025899958,3756.1020078467573
1757190310,200,,Aggregated,113.600000,0.000000,210,300,370,430,1000,8400,14000,17000,23000,31000,31000,4459,1849,210.0,1098.1469683581336,26.119478017790243,30558.43025899958,3840.455707557748
1757190311,200,,Aggregated,113.600000,0.000000,200,300,360,420,890,8300,14000,17000,23000,31000,31000,4573,1849,200.0,1072.8641224642438,26.119478017790243,30558.43025899958,3981.9483927399956
1757190312,200,,Aggregated,110.400000,0.000000,200,290,360,410,860,8100,14000,17000,23000,31000,31000,4682,1849,200.0,1049.8530056662016,26.119478017790243,30558.43025899958,4036.7738146091415
1757190313,200,,Aggregated,111.800000,0.000000,190,290,350,410,830,8000,14000,17000,23000,31000,31000,4785,1849,190.0,1028.8218942260146,26.119478017790243,30558.43025899958,4140.5080459770115
1757190314,200,,Aggregated,114.300000,0.000000,180,280,350,400,760,7800,14000,17000,23000,31000,31000,4921,1849,180.0,1002.4097522917363,26.119478017790243,30558.43025899958,4244.28774639301
1757190315,200,,Aggregated,114.100000,0.000000,180,270,340,400,720,7400,14000,16000,23000,31000,31000,5038,1849,180.0,981.0533711601329,26.119478017790243,30558.43025899958,4333.3872568479555
1757190316,200,,Aggregated,112.100000,0.000000,170,270,340,390,700,7200,13000,16000,23000,31000,31000,5132,1849,170.0,964.3371679491145,26.119478017790243,30558.43025899958,4335.03429462198
1757190317,200,,Aggregated,112.200000,0.000000,170,270,330,390,670,6900,13000,16000,23000,31000,31000,5253,1849,170.0,943.9062543184433,26.119478017790243,30558.43025899958,4503.550352179707
1757190318,200,,Aggregated,114.400000,0.000000,160,260,330,380,650,6700,13000,16000,23000,31000,31000,5362,1849,160.0,926.0031532608883,26.119478017790243,30558.43025899958,4522.445915703096
1757190319,200,,Aggregated,112.800000,0.000000,150,260,330,380,630,6600,13000,16000,23000,31000,31000,5480,1849,150.0,908.403442676794,26.119478017790243,30558.43025899958,4603.461313868613
1757190320,200,,Aggregated,112.200000,0.000000,150,250,320,370,620,6200,13000,16000,23000,31000,31000,5586,1849,140.0,892.567889215375,26.119478017790243,30558.43025899958,4651.324919441461
1757190321,200,,Aggregated,112.300000,0.000000,140,250,320,370,610,6000,13000,16000,23000,31000,31000,5704,1849,140.0,875.5824666651546,24.2984090000391,30558.43025899958,4675.359747545582
1757190322,200,,Aggregated,115.000000,0.000000,130,240,310,360,590,5300,13000,16000,23000,31000,31000,5821,1849,130.0,859.4296713102508,24.2984090000391,30558.43025899958,4721.124549046555
1757190323,200,,Aggregated,112.300000,0.000000,130,240,310,360,580,5000,13000,16000,23000,31000,31000,5933,1849,130.0,844.7391639809604,24.2984090000391,30558.43025899958,4816.64604753076
1757190324,200,,Aggregated,112.000000,0.000000,120,230,310,350,570,5000,12000,16000,23000,31000,31000,6038,1849,120.0,831.2440855104428,24.2984090000391,30558.43025899958,4829.236667770785
1757190325,200,,Aggregated,112.300000,0.000000,120,230,300,350,560,4800,12000,16000,23000,31000,31000,6156,1849,120.0,816.6380353395275,24.2984090000391,30558.43025899958,4856.404483430799
1757190326,200,,Aggregated,113.300000,0.000000,110,220,300,350,550,4600,12000,16000,23000,31000,31000,6268,1849,110.0,803.2615101736228,24.2984090000391,30558.43025899958,4828.76403956605
1757190327,200,,Aggregated,113.700000,0.000000,110,220,290,340,540,4400,12000,16000,23000,31000,31000,6393,1849,110.0,789.3940068195244,24.2984090000391,30558.43025899958,4912.417800719537
1757190328,200,,Aggregated,111.100000,0.000000,110,220,290,340,540,4000,12000,16000,23000,31000,31000,6495,1849,110.0,778.0966788764117,24.2984090000391,30558.43025899958,4966.171208622017
1757190329,200,,Aggregated,113.500000,0.000000,110,210,280,330,530,3800,12000,15000,23000,31000,31000,6614,1849,110.0,765.5918036972141,24.2984090000391,30558.43025899958,4989.131085576051
1757190330,200,,Aggregated,113.600000,0.000000,110,210,280,330,520,3700,12000,15000,23000,31000,31000,6715,1849,110.0,755.2263409141369,24.2984090000391,30558.43025899958,4978.93164556962
1757190331,200,,Aggregated,112.900000,0.000000,110,200,280,330,520,3500,12000,15000,23000,31000,31000,6837,1849,110.0,743.328692765484,24.2984090000391,30558.43025899958,4975.7885037297065
1757190332,200,,Aggregated,112.700000,0.000000,100,200,270,320,510,3400,12000,15000,23000,31000,31000,6948,1849,100.0,732.66969549622,24.2984090000391,30558.43025899958,5029.72380541163
1757190333,200,,Aggregated,113.000000,0.000000,100,200,270,320,500,3300,12000,15000,23000,31000,31000,7065,1849,100.0,721.6668143768882,24.2984090000391,30558.43025899958,5051.150743099788
1757190334,200,,Aggregated,113.500000,0.000000,100,190,270,320,500,3200,12000,15000,23000,31000,31000,7167,1849,100.0,712.6043051687883,24.2984090000391,30558.43025899958,5111.572345472304
1757190335,200,,Aggregated,112.300000,0.000000,100,190,260,310,500,2700,12000,15000,23000,31000,31000,7290,1849,100.0,701.904840876486,24.2984090000391,30558.43025899958,5243.5123456790125
1757190336,200,,Aggregated,113.200000,0.000000,100,180,260,310,490,2600,11000,15000,23000,31000,31000,7403,1849,100.0,692.2718168436556,24.2984090000391,30558.43025899958,5271.027151154937
