Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /files/[user]/1.0MB,6105,468,54,476.4800172860065,24.76886799558997,137027.70326301106,266.92432432432435,20.348456980092358,1.5598817144444264,54,63,73,81,200,380,1900,11000,134000,137000,137000
GET,GET /files/[user]/1.0MB,8237,593,55,439.78989031567295,26.812116004293784,135372.21405198216,649.9147747966492,27.454584790339187,1.9765167877468908,55,65,73,80,180,360,1600,8000,135000,135000,135000
PROPFIND,PROPFIND /files/[user]/,4069,282,100.0,652.7129238727307,47.761555993929505,134851.26169398427,173226.0835586139,13.562304906141819,0.9399287253703594,100,120,130,140,210,380,2200,10000,134000,135000,135000
PUT,PUT /files/[user]/1.0MB,12287,900,110.0,492.4001940294951,52.307020989246666,137141.06234101928,31.286563034101082,40.95356116533903,2.999772527777743,110,130,150,170,300,450,1400,5800,134000,137000,137000
,Aggregated,30698,2243,86,496.3668611420839,24.76886799558997,137141.06234101928,23200.9991856147,102.31890784191239,7.476099755339419,86,110,120,140,250,410,1700,8100,134000,137000,137000
