Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /files/[user]/500.0MB,50,0,160.0,1358.4311461407924,45.206366979982704,9672.458704008022,254.9,0.17222498136793393,0.0,170,720,1000,2400,5400,8900,9700,9700,9700,9700,9700
GET,GET /files/[user]/500.0MB,82,0,120.0,818.5048251368088,45.76528101461008,8773.289326025406,254.96341463414635,0.28244896944341163,0.0,120,180,790,1200,2300,4600,7900,8800,8800,8800,8800
PROPFIND,PROPFIND /files/[user]/,36,0,340.0,1286.1191248011892,71.77847099956125,8575.859617005335,119734.69444444444,0.12400198658491243,0.0,530,850,1300,2400,4600,6000,8600,8600,8600,8600,8600
PUT,PUT /files/[user]/500.0MB,83,6,48000.0,45990.45396770886,3982.8677070036065,53898.04945400101,0.0,0.28589346907077035,0.020666997764152074,48000,50000,51000,51000,52000,53000,54000,54000,54000,54000,54000
,Aggregated,251,6,920.0,15930.465819844358,45.206366979982704,53898.04945400101,17307.17529880478,0.8645694064670284,0.020666997764152074,920,8000,46000,48000,50000,52000,53000,53000,54000,54000,54000
